# i, x, y, real(u), imag(u)
544 12.213 -8.85151 1.23209 0.214326
545 12.2484 -8.8753 1.12296 0.292368
546 12.2848 -8.89526 0.993662 0.379224
547 12.3211 -8.90963 0.850075 0.47024
548 12.3565 -8.917 0.699502 0.560684
549 12.3899 -8.91643 0.549452 0.646404
550 12.4202 -8.90745 0.406558 0.724127
551 12.4466 -8.89014 0.275895 0.791441
552 12.4686 -8.86509 0.160775 0.846671
553 12.4859 -8.83334 0.0628639 0.888872
554 12.4985 -8.79631 -0.0175642 0.918007
555 12.5068 -8.75569 -0.0812884 0.935106
556 12.5115 -8.7133 -0.129824 0.942233
557 12.5138 -8.67097 -0.165172 0.942124
558 12.515 -8.63042 -0.189618 0.937595
559 12.5164 -8.59311 -0.20556 0.930995
560 12.5196 -8.56019 -0.215347 0.923927
561 12.5258 -8.53239 -0.22111 0.917204
562 12.5364 -8.51001 -0.224618 0.91082
563 12.5522 -8.49291 -0.227199 0.903741
564 12.5736 -8.48054 -0.229722 0.893614
565 12.6008 -8.47202 -0.232662 0.876621
566 12.6334 -8.46618 -0.236135 0.84774
567 12.6704 -8.46171 -0.239826 0.801484
568 12.7107 -8.45725 -0.242879 0.732998
569 12.7527 -8.45148 -0.24391 0.639202
570 12.7946 -8.44326 -0.241335 0.519645
571 12.8344 -8.43168 -0.233975 0.376762
572 12.8703 -8.41613 -0.221673 0.215507
573 12.9005 -8.39633 -0.205603 0.0425124
574 12.9237 -8.37234 -0.188102 -0.134852
575 12.9388 -8.34456 -0.172101 -0.309278
576 12.9452 -8.31361 -0.160366 -0.474089
